City,Coordinates,Administrative Division,Country,Country Code
Beijing / 北京,"39.9067,116.3975",Beijing / 北京市,China / 中国,CHN
Shanghai / 上海,"31.2304,121.4737",Shanghai / 上海市,China / 中国,CHN
Oxford,"51.7520,-1.2577",Oxfordshire,United Kingdom,GBR
London,"51.5074,-0.1278",England,United Kingdom,GBR
Tokyo / 東京,"35.6762,139.6503",Tokyo Metropolis,Japan,JPN
Seattle,"47.6062,-122.3321",Washington,United States,USA
Paris,"48.8566,2.3522",Île-de-France,France,FRA
Sacramento,"38.5816,-121.4944",California,United States,USA
Hong Kong / 香港,"22.3193,114.1694",Hong Kong,China / 中国,HKG
